level,wave,feature,shap_value
mortality,1,Vek,-1.147354006767273
mortality,1,Vek,-3.5942344665527344
mortality,1,Vek,2.499207258224488
mortality,1,Vek,-4.420979022979736
mortality,1,Vek,-4.515054702758789
mortality,1,Vek,-2.077479124069214
mortality,1,Vek,-3.790343999862671
mortality,1,Vek,-3.667853355407715
mortality,1,Vek,-2.9870426654815674
mortality,1,Vek,-0.2945610880851745
mortality,1,Vek,-2.636265754699707
mortality,1,Vek,-1.273514986038208
mortality,1,Vek,-2.70930552482605
mortality,1,Vek,0.559423565864563
mortality,1,Vek,-0.8502548933029175
mortality,1,Vek,-1.8616340160369875
mortality,1,Vek,-4.485058784484863
mortality,1,Vek,1.8323314189910889
mortality,1,Vek,-2.7387619018554688
mortality,1,Vek,1.2004140615463257
mortality,1,Vek,-1.2654404640197754
mortality,1,Vek,-1.4545265436172483
mortality,1,Vek,-2.7851383686065674
mortality,1,Vek,1.8323314189910889
mortality,1,Vek,1.2648591995239258
mortality,1,Vek,1.6843591928482056
mortality,1,Vek,-0.2503166496753692
mortality,1,Vek,-3.2168288230896
mortality,1,Vek,-3.431525707244873
mortality,1,Vek,2.486902952194214
mortality,1,Vek,0.8260332942008972
mortality,1,Vek,-1.854740619659424
mortality,1,Vek,-1.273514986038208
mortality,1,Vek,-0.5854781270027161
mortality,1,Vek,-0.490616112947464
mortality,1,Vek,1.9148695468902588
mortality,1,Vek,-0.0525730587542057
mortality,1,Vek,-2.3746187686920166
mortality,1,Vek,2.046333312988281
mortality,1,Vek,-1.5238025188446045
mortality,1,Vek,-3.80979061126709
mortality,1,Vek,0.5089832544326782
mortality,1,Vek,0.4809958934783935
mortality,1,Vek,2.0934054851531982
mortality,1,Vek,-3.826664924621582
mortality,1,Vek,-3.157048463821411
mortality,1,Vek,-2.955376386642456
mortality,1,Vek,0.0200804285705089
mortality,1,Vek,-3.390966892242432
mortality,1,Vek,-2.636265754699707
mortality,1,Vek,1.09423565864563
mortality,1,Vek,-2.9621026515960693
mortality,1,Vek,0.67710280418396
mortality,1,Vek,-0.6634076833724976
mortality,1,Vek,-3.847124814987183
mortality,1,Vek,-3.937793731689453
mortality,1,Vek,-2.4137725830078125
mortality,1,Vek,0.2579312026500702
mortality,1,Vek,-3.670902729034424
mortality,1,Vek,-1.1486201286315918
mortality,1,Vek,-0.0992723479866981
mortality,1,Vek,-4.023759841918945
mortality,1,Vek,-3.0485317707061768
mortality,1,Vek,-3.1685714721679688
mortality,1,Vek,2.304593324661255
mortality,1,Vek,-3.448843002319336
mortality,1,Vek,-0.0202378332614898
mortality,1,Vek,-3.6823909282684326
mortality,1,Vek,-1.131292700767517
mortality,1,Vek,1.3324869871139526
mortality,1,Vek,-3.257921934127808
mortality,1,Vek,-3.2308852672576904
mortality,1,Vek,-2.683128833770752
mortality,1,Vek,-3.884381771087648
mortality,1,Vek,-2.348622560501098
mortality,1,Vek,-3.157048463821411
mortality,1,Vek,-3.2204573154449463
mortality,1,Vek,0.3122284114360809
mortality,1,Vek,-1.5512065887451172
mortality,1,Vek,1.3080726861953735
mortality,1,Vek,1.5022939443588257
mortality,1,Vek,0.714463472366333
mortality,1,Vek,-2.0342702865600586
mortality,1,Vek,-0.5871542096138
mortality,1,Vek,-1.0751746892929075
mortality,1,Vek,-2.3315083980560303
mortality,1,Vek,-2.4319088459014893
mortality,1,Vek,-1.9144446849823
mortality,1,Vek,3.32730770111084
mortality,1,Vek,-4.212931156158447
mortality,1,Vek,-0.1069353595376014
